weight logl gamma delta nu_max
0.000000000000000000e+00 -1.147844268818590092e+06 7.428057159102541274e-02 9.176617221946864467e-01 1.172398607055202824e-03
0.000000000000000000e+00 -8.631864154877563706e+05 9.649005863043069731e-01 6.472048524880469333e-02 5.904893937388910885e-03
0.000000000000000000e+00 -7.586605351847331040e+05 2.759099761718514232e-01 5.378550664848060769e-01 9.455560462806600341e-03
0.000000000000000000e+00 -7.289169622073104838e+05 1.129107578398208522e-01 9.090678060169282704e-01 9.728011298445915500e-03
0.000000000000000000e+00 -6.931584716306349728e+05 5.320644144980901658e-01 7.135277400624397970e-01 1.072987715080664373e-02
0.000000000000000000e+00 -5.814181141378617613e+05 1.082150875418963487e-03 9.992460272436236579e-01 4.268357873147735626e-01
0.000000000000000000e+00 -5.201429766238065204e+05 1.511998838477883744e-01 7.240659783871816746e-01 1.977673921827172165e-02
0.000000000000000000e+00 -4.394882232127651223e+05 7.337634318298780212e-02 6.299102137828007653e-01 3.058454350270722877e-02
0.000000000000000000e+00 -4.003403624072758830e+05 5.744320821696624613e-03 9.019220236900219456e-01 6.655642911828540953e-01
0.000000000000000000e+00 -3.809564888469548314e+05 2.603890704321296656e-01 9.950146973486799773e-01 6.543296197935521974e-02
0.000000000000000000e+00 -3.774563473090236657e+05 3.268640974470216065e-03 8.014112745300848717e-01 4.155161882520358452e-01
0.000000000000000000e+00 -3.684526753230869654e+05 4.015361605243350507e-02 4.644008354198726485e-01 7.509759725209889103e-01
0.000000000000000000e+00 -3.669236815292657702e+05 2.953982694357060179e-02 1.873688273948305172e-01 4.220152518347254356e-01
0.000000000000000000e+00 -3.664093466919726343e+05 1.062339581562766755e-01 9.418500982263109389e-01 4.086506310383268836e-01
0.000000000000000000e+00 -3.663059787886267295e+05 7.820069377408722655e-02 8.244948062462752469e-01 3.239126214773815349e-01
0.000000000000000000e+00 -3.659299335633928422e+05 1.575644767889143871e-01 9.037758892149676537e-01 4.942263258285040095e-02
0.000000000000000000e+00 -3.639657590136755607e+05 4.258918597717864518e-02 4.673448442679937198e-01 7.871116515933748170e-01
0.000000000000000000e+00 -3.617137875014536548e+05 7.214909376315492562e-02 5.712596020471936153e-01 5.653503304560425491e-02
0.000000000000000000e+00 -3.592876660888723563e+05 1.389877725075681081e-01 9.914513229291959107e-01 9.295067401861065726e-01
0.000000000000000000e+00 -3.569644597713251715e+05 6.529707597006739750e-02 7.524750966245220551e-01 8.617316070092307934e-01
0.000000000000000000e+00 -3.533871998465158395e+05 4.582494594868469218e-02 3.439130431227029883e-01 2.546760940739553059e-01
0.000000000000000000e+00 -3.527714641478938283e+05 1.004091208761351828e-01 8.912932520463422437e-01 4.016460314164117529e-01
0.000000000000000000e+00 -3.422908112944288296e+05 7.992759791749126652e-02 7.311814582654455608e-01 5.332053049770340003e-01
0.000000000000000000e+00 -3.421244468535629567e+05 1.184740699795794328e-02 9.033883615069031592e-01 4.397416376332892174e-01
