weight logl gamma delta nu_max
0.000000000000000000e+00 -1.147844268818590092e+06 7.821019973341394316e-01 4.694756919596491329e+00 6.235265077683322943e-01
0.000000000000000000e+00 -8.631864154877563706e+05 2.405618845536785066e+00 3.241844972837359062e+00 2.910191355343812347e+00
0.000000000000000000e+00 -7.586605351847331040e+05 1.203943444372895133e+00 4.047515712056578785e+00 4.430665250029569791e+00
0.000000000000000000e+00 -7.289169622073104838e+05 8.975170622479284877e-01 4.667518269300390266e+00 4.541598628535481907e+00
0.000000000000000000e+00 -6.931584716306349728e+05 1.541024442192022947e+00 4.281860135234921927e+00 4.943138102546541290e+00
0.000000000000000000e+00 -5.814181141378617613e+05 9.195406070618883376e-02 5.586575041514775464e+00 5.546144224923394717e+01
0.000000000000000000e+00 -5.201429766238065204e+05 9.867875593508381726e-01 4.297481619999814484e+00 8.187699995265646180e+00
0.000000000000000000e+00 -4.394882232127651223e+05 7.789149286483978418e-01 4.165807777510125653e+00 1.140634899832735272e+01
0.000000000000000000e+00 -4.003403624072758830e+05 2.735748307329732842e-01 4.646290589372444657e+00 7.346073304841284823e+01
0.000000000000000000e+00 -3.809564888469548314e+05 1.180463112607395448e+00 5.288423534429495199e+00 1.915815716674134705e+01
0.000000000000000000e+00 -3.774563473090236657e+05 1.982597804384360618e-01 4.423336465232307724e+00 5.461811129605311521e+01
0.000000000000000000e+00 -3.684526753230869654e+05 6.329451523585909456e-01 3.955323686405012307e+00 8.086617876978327502e+01
0.000000000000000000e+00 -3.669236815292657702e+05 5.657761673825398852e-01 3.556182996557096576e+00 5.510278053310696578e+01
0.000000000000000000e+00 -3.664093466919726343e+05 8.798722448440812194e-01 4.785247915479663661e+00 5.410457764384441504e+01
0.000000000000000000e+00 -3.663059787886267295e+05 7.955928028150713871e-01 4.466315630038669937e+00 4.756825435111912270e+01
0.000000000000000000e+00 -3.659299335633928422e+05 1.000095921645329788e+00 4.651685369039676665e+00 1.595917865444014438e+01
0.000000000000000000e+00 -3.639657590136755607e+05 6.463416019594718787e-01 3.959027021270224989e+00 8.439668969071567517e+01
0.000000000000000000e+00 -3.617137875014536548e+05 7.745418989807913990e-01 4.089790962393403007e+00 1.744018013650552490e+01
0.000000000000000000e+00 -3.592876660888723563e+05 9.601772844694935749e-01 5.192303726307868850e+00 1.045233772490348656e+02
0.000000000000000000e+00 -3.569644597713251715e+05 7.490397840557907472e-01 4.341149577913106405e+00 9.307491858980759503e+01
0.000000000000000000e+00 -3.533871998465158395e+05 6.632425351253213863e-01 3.799096510969724783e+00 4.176348952043939988e+01
0.000000000000000000e+00 -3.527714641478938283e+05 8.638224135707166518e-01 4.616717523701677095e+00 5.357885623947669274e+01
0.000000000000000000e+00 -3.422908112944288296e+05 8.013763271740552696e-01 4.308195051720458579e+00 6.330224192484272550e+01
0.000000000000000000e+00 -3.421244468535629567e+05 3.895860821686190079e-01 4.650551389046429840e+00 5.641863305690047525e+01
0.000000000000000000e+00 -3.384399387145101791e+05 7.404647774647215019e-01 3.937477953277518594e+00 5.766765498482647700e+01
0.000000000000000000e+00 -3.366967946961049456e+05 6.150651170212340091e-02 3.575123996522722170e+00 5.435166612514761653e+01
0.000000000000000000e+00 -3.342073654102319269e+05 2.410316914599861526e-01 3.714249953523146797e+00 1.045063463451388515e+02
0.000000000000000000e+00 -3.325220656356493710e+05 7.889177649592707953e-01 3.988490928233389798e+00 2.744525659508637716e+01
0.000000000000000000e+00 -3.248143133707600646e+05 9.046617860250731891e-01 4.560286781789993249e+00 8.929935566584371998e+01
0.000000000000000000e+00 -3.202572089172790875e+05 9.398344124246904574e-01 4.569965852052058963e+00 5.897762028608496365e+01
0.000000000000000000e+00 -3.191686086975217331e+05 7.950630223020653808e-01 3.808484003917881999e+00 3.570865278681866073e+01
