logz logzerr logvol nlive logl logwt insert_order
-3.384459914287968422e+05 1.833179184269964026e+03 -6.250000000000001388e-02 4.000000000000000000e+02 -3.366967946961049456e+05 -3.367028499103916110e+05 nan
-3.367028499103916110e+05 8.216743790890815262e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -3.342073654102319269e+05 -3.342134231245185947e+05 nan
-3.342134231245185947e+05 1.174415779788153486e+03 -6.750000000000001832e-02 4.000000000000000000e+02 -3.325220656356493710e+05 -3.325281258499360410e+05 nan
-3.325281258499360410e+05 1.206219425872270676e+03 -7.000000000000002054e-02 4.000000000000000000e+02 -3.248143133707600646e+05 -3.248203760850467370e+05 nan
-3.248203760850467370e+05 3.844984333495089231e+03 -7.250000000000002276e-02 4.000000000000000000e+02 -3.202572089172790875e+05 -3.202632741315657622e+05 nan
-3.202632741315657622e+05 4.957729722936594044e+03 -7.500000000000002498e-02 4.000000000000000000e+02 -3.191686086975217331e+05 -3.191746764118084102e+05 nan
-3.191746764118084102e+05 5.480095830866764118e+03 -7.750000000000002720e-02 4.000000000000000000e+02 -3.133835073031786596e+05 -3.133895775174653390e+05 nan
-3.133895775174653390e+05 6.179307982297242233e+03 -8.000000000000002942e-02 4.000000000000000000e+02 -3.130547217290343833e+05 -3.130607944433210650e+05 nan
-3.130607944433210650e+05 5.935908598760467612e+03 -8.250000000000003164e-02 4.000000000000000000e+02 -3.112850576406845939e+05 -3.112911328549712780e+05 nan
-3.112911328549712780e+05 6.211132067396208186e+03 -8.500000000000003386e-02 4.000000000000000000e+02 -3.087837252676726202e+05 -3.087898029819593066e+05 nan
-3.087898029819593066e+05 9.325319119108530685e+02 -8.750000000000003608e-02 4.000000000000000000e+02 -3.073666525893252692e+05 -3.073727328036119579e+05 nan
-3.073727328036119579e+05 1.129710545806498658e+03 -9.000000000000003830e-02 4.000000000000000000e+02 -3.049652123159865732e+05 -3.049712950302732643e+05 nan
-3.049712950302732643e+05 1.184284579697326080e+03 -9.250000000000004052e-02 4.000000000000000000e+02 -3.034554867241193424e+05 -3.034615719384060358e+05 nan
-3.034615719384060358e+05 1.160744958549562398e+03 -9.500000000000004274e-02 4.000000000000000000e+02 -3.034539780279921833e+05 -3.034600657422788790e+05 nan
-3.034598654564733733e+05 4.171392721704031601e+02 -9.750000000000004496e-02 4.000000000000000000e+02 -3.031223071473316522e+05 -3.031283973616183503e+05 nan
-3.031283973616183503e+05 1.633485164693417744e+02 -1.000000000000000472e-01 4.000000000000000000e+02 -3.018491346245172317e+05 -3.018552273388039321e+05 nan
-3.018552273388039321e+05 6.005163001384426025e+02 -1.025000000000000494e-01 4.000000000000000000e+02 -3.013545493883446325e+05 -3.013606446026313351e+05 nan
-3.013606446026313351e+05 6.481810580699534512e+02 -1.050000000000000516e-01 4.000000000000000000e+02 -3.008759853715501959e+05 -3.008820830858369009e+05 nan
-3.008820830858369009e+05 2.258589083683429237e+02 -1.075000000000000538e-01 4.000000000000000000e+02 -3.003098257982592913e+05 -3.003159260125459987e+05 nan
-3.003159260125459987e+05 2.663466316845306210e+02 -1.100000000000000561e-01 4.000000000000000000e+02 -2.997911652339500142e+05 -2.997972679482367239e+05 nan
-2.997972679482367239e+05 2.063799834314560488e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -2.984942226221312885e+05 -2.985003278364180005e+05 nan
-2.985003278364180005e+05 6.395462620277703536e+02 -1.150000000000000605e-01 4.000000000000000000e+02 -2.975367189946191502e+05 -2.975428267089058645e+05 nan
-2.975428267089058645e+05 4.513129132335926670e+02 -1.175000000000000627e-01 4.000000000000000000e+02 -2.946776002942755586e+05 -2.946837105085622752e+05 nan
-2.946837105085622752e+05 1.531444970621054154e+03 -1.200000000000000649e-01 4.000000000000000000e+02 -2.927819650180561584e+05 -2.927880777323428774e+05 nan
-2.927880777323428774e+05 1.369872181475400339e+03 -1.225000000000000672e-01 4.000000000000000000e+02 -2.925397387128925184e+05 -2.925458539271791815e+05 nan
-2.925458539271791815e+05 1.147924777288404385e+02 -1.250000000000000555e-01 4.000000000000000000e+02 -2.916165860794901964e+05 -2.916227037937768619e+05 nan
-2.916227037937768619e+05 4.381774849091285660e+02 -1.275000000000000577e-01 4.000000000000000000e+02 -2.915145506607840071e+05 -2.915206708750706748e+05 nan
-2.915206708750706748e+05 4.238192242285956013e+02 -1.300000000000000600e-01 4.000000000000000000e+02 -2.899661177947772667e+05 -2.899722405090639368e+05 nan
-2.899722405090639368e+05 7.420661207494368909e+02 -1.325000000000000622e-01 4.000000000000000000e+02 -2.880331159373409464e+05 -2.880392411516276188e+05 nan
-2.880392411516276188e+05 1.368471315754053421e+03 -1.350000000000000644e-01 4.000000000000000000e+02 -2.854845525506371632e+05 -2.854906802649238380e+05 nan
-2.854906802649238380e+05 1.722642138340919018e+03 -1.375000000000000666e-01 4.000000000000000000e+02 -2.853967207584794960e+05 -2.854028509727661731e+05 nan
-2.854028509727661731e+05 7.206559578489526530e+02 -1.400000000000000688e-01 4.000000000000000000e+02 -2.844569937494230107e+05 -2.844631264637096901e+05 nan
-2.844631264637096901e+05 9.849172246578302747e+02 -1.425000000000000711e-01 4.000000000000000000e+02 -2.842603960301897023e+05 -2.842665312444763840e+05 nan
-2.842665312444763840e+05 5.038756427342163420e+02 -1.450000000000000733e-01 4.000000000000000000e+02 -2.842318415870391182e+05 -2.842379793013258022e+05 nan
-2.842379793013258022e+05 3.198959422548655880e+02 -1.475000000000000755e-01 4.000000000000000000e+02 -2.796535588078561123e+05 -2.796596990221427986e+05 nan
-2.796596990221427986e+05 2.390574398772485893e+03 -1.500000000000000777e-01 4.000000000000000000e+02 -2.783932668896372197e+05 -2.783994096039239084e+05 nan
-2.783994096039239084e+05 5.937937170911745852e+02 -1.525000000000000799e-01 4.000000000000000000e+02 -2.781735638194524799e+05 -2.781797090337391710e+05 nan
-2.781797090337391710e+05 9.500551432055605972e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -2.779656048902054899e+05 -2.779717526044921833e+05 nan
-2.779717526044921833e+05 1.353549218018260092e+02 -1.575000000000000844e-01 4.000000000000000000e+02 -2.777279978992295219e+05 -2.777341481135162176e+05 nan
-2.777341481135162176e+05 2.247886374562915250e+02 -1.600000000000000866e-01 4.000000000000000000e+02 -2.754212709636837244e+05 -2.754274236779704224e+05 nan
-2.754274236779704224e+05 1.195801125831673517e+03 -1.625000000000000888e-01 4.000000000000000000e+02 -2.752692792297417182e+05 -2.752754344440284185e+05 nan
