gamma delta nu_max
5.043583119427262895e-01 3.676924829392287819e+00 1.021624581582614013e+02
5.276570862582061761e-01 3.804920346081721139e+00 5.579747244025599429e+01
5.297582813215063746e-01 4.184558392672930616e+00 2.407562319469515444e+01
5.337445951152102186e-01 3.908471579946856345e+00 6.023282955065018740e+01
5.352890165972143954e-01 3.936414794304365028e+00 5.279425301242708457e+01
5.357047271371488950e-01 3.898787774258156258e+00 5.716199466620842884e+01
5.656464973642695293e-01 4.379430182994145326e+00 2.454525137472397489e+01
4.462404688023633437e-01 3.894201975825186235e+00 1.186157586802691810e+01
5.296917403125509516e-01 3.944644650611123016e+00 6.914501514808833349e+01
5.199327331163001720e-01 3.949459174307523135e+00 7.609098565220753585e+01
4.425201529499513953e-01 3.141309328884551277e+00 3.369131061662914561e+01
4.722394038570278951e-01 3.707844553109415742e+00 2.481622796873111980e+01
5.429661777821994662e-01 4.063152572796311368e+00 5.795880688084043442e+01
5.862698850280306795e-01 4.507581350078859295e+00 1.851780717511695684e+01
4.915705438071249489e-01 3.772693916673503622e+00 4.816848314234755435e+01
4.580157863341256519e-01 3.486706711526366576e+00 3.934686641104725879e+01
4.752548657420361256e-01 3.463362813893843484e+00 1.593327756494731773e+01
4.870986961793597469e-01 3.973310145526978143e+00 1.063010116426159613e+01
3.379625879708307856e-01 2.496538903817874910e+00 3.325799753837240047e+01
4.929689931473908437e-01 3.397655116486149929e+00 4.091287253606949292e+01
4.779595081159675463e-01 3.739856080732775201e+00 3.989911516563851990e+01
4.881276650508239445e-01 3.496706513534036720e+00 7.013291839942304762e+01
4.233018134617487771e-01 3.343253464104052775e+00 5.626460456538814014e+01
3.916178735362612073e-01 3.320377535176909145e+00 1.879574997692090932e+01
4.340974980391381077e-01 3.442780077967482200e+00 9.379349398745662825e+01
3.931997210428519463e-01 2.786186576984830854e+00 4.919009232579279001e+01
4.883103769872654265e-01 3.469587556217368807e+00 3.294373808247337365e+01
4.295307468652544980e-01 3.604388889158622433e+00 4.524588248445874683e+01
4.580157863341256519e-01 3.486706711526366576e+00 3.934686641104725879e+01
5.095065114692756136e-01 3.872065741822935170e+00 2.571611698755154407e+01
5.269590339050493899e-01 3.976326068249293577e+00 2.046933296525232748e+01
5.315969557436892590e-01 3.940088315825453602e+00 8.148791234486290591e+01
3.924375159509572164e-01 2.845668398167461088e+00 4.160775405801764748e+01
5.135409281627633105e-01 4.065177058442909441e+00 2.128324840336316015e+01
4.712950850161636840e-01 3.157899793734365357e+00 6.613462423167391080e+01
5.166815790205592229e-01 3.743162121120915842e+00 3.435879892467693253e+01
4.807504553742116826e-01 3.513829908169093130e+00 4.257646444465100899e+01
4.578633547071915277e-01 3.665843175586623204e+00 6.900175807997615607e+01
5.361958832105824246e-01 4.418425056676054119e+00 9.533705119768114855e+00
5.238212837253453102e-01 3.900798093082540330e+00 9.064025713207297485e+01
5.082972117654873667e-01 3.588093388649717497e+00 9.661134219939089007e+01
5.346186968652455462e-01 3.871953592878785599e+00 5.184856230998585147e+01
4.588546064417107218e-01 3.126916829937219866e+00 8.825236257374110949e+01
4.949652968404918418e-01 3.704021381202222241e+00 4.324298943545478835e+01
4.988400743635263979e-01 3.482797352424824577e+00 7.975610620260863470e+01
3.996359146669048457e-01 3.344437678995744179e+00 4.364412858672396567e+01
5.252256921263611655e-01 4.038173553773252600e+00 5.614667603373379023e+01
5.238212837253453102e-01 3.900798093082540330e+00 9.064025713207297485e+01
4.825120974002194973e-01 3.643634327535895778e+00 7.084315371989607968e+01
3.794301960444266264e-01 3.072505031823718369e+00 5.167225148283254299e+01
4.889041045068374114e-01 3.746511128751087938e+00 8.463115172035782052e+01
4.579149974241278898e-01 3.499135951120770471e+00 4.024309160481026026e+01
5.297582813215063746e-01 4.184558392672930616e+00 2.407562319469515444e+01
4.552089912463856969e-01 3.492300135449464715e+00 4.418751349634830206e+01
4.635817663772656694e-01 3.419559383163540467e+00 2.708442542706628586e+01
5.296917403125509516e-01 3.944644650611123016e+00 6.914501514808833349e+01
4.621964732190881886e-01 3.645236438793873823e+00 1.416756361584244672e+01
4.615316527568913418e-01 3.436199713179857618e+00 6.294960165879729175e+01
4.004284243407834065e-01 3.405123809378703292e+00 4.214141642519129505e+01
4.578025979741584539e-01 3.396925236951795934e+00 8.589693909027121776e+01
4.530440595782323498e-01 3.347021981096665932e+00 2.693114239898967099e+01
5.361958832105824246e-01 4.418425056676054119e+00 9.533705119768114855e+00
4.821314568093106878e-01 3.856883813457311128e+00 3.453848160001198409e+01
4.285873643764785967e-01 3.523980779957701870e+00 7.961807770105804138e+01
5.282477011246312637e-01 4.296370369778324871e+00 1.959069457230791045e+01
4.189773449957785445e-01 2.961812572375961850e+00 3.707380125011552252e+01
5.065582517265974083e-01 3.744356389663460849e+00 5.110722537354060790e+01
4.771189182091515324e-01 3.498990453992625760e+00 6.603309387492213034e+01
4.498195023859596908e-01 3.679032420164199291e+00 2.883106821585478485e+00
4.430713973999662603e-01 3.594034863364732324e+00 7.111175217640594326e+01
5.248261182038455042e-01 3.842694960174272811e+00 3.683107889790235845e+01
5.035055250112590031e-01 3.534477836424916308e+00 1.080862278291591565e+02
5.026331131219786696e-01 3.563170737752928474e+00 8.061177652968468976e+01
3.201824759855518288e-01 2.964896950105508022e+00 4.019519176654006287e+01
4.645520100026783172e-01 3.810858282678035280e+00 4.308093043866543326e+01
5.244258007519078113e-01 4.104465363324302452e+00 3.979979038682562020e+01
