weight logl gamma delta nu_max
0.000000000000000000e+00 -2.869732851575030363e+05 1.372286991077211749e-01 5.270724607364799530e-01 2.061089623995856490e-01
0.000000000000000000e+00 -2.851803851468024659e+05 2.097381134704665584e-01 9.471303891576127176e-01 9.320972582057319711e-01
0.000000000000000000e+00 -2.845427810485092341e+05 2.045789734801374271e-01 8.654956408815983604e-01 4.724942974348338431e-01
0.000000000000000000e+00 -2.813030934292780003e+05 2.123696576058800023e-01 8.353318350501098832e-01 2.364301086718845202e-01
0.000000000000000000e+00 -2.812992174908920424e+05 1.776633018993335478e-01 6.418750937194848127e-01 1.539586949354100343e-01
0.000000000000000000e+00 -2.798061220530834398e+05 1.569467215968134433e-02 6.378829768508894604e-01 3.262029230118597134e-01
0.000000000000000000e+00 -2.793258207738734782e+05 1.265415376309826367e-01 2.366294529720530671e-01 5.300415908089761707e-02
0.000000000000000000e+00 -2.793167023012043792e+05 6.869629361055320516e-01 2.667110777436479951e-01 2.584375395239568718e-02
0.000000000000000000e+00 -2.789445729864359018e+05 1.607876014964645384e-01 8.157017820442443723e-01 8.762475046354932795e-01
0.000000000000000000e+00 -2.783718098760516150e+05 9.716747582739209133e-01 6.372562258829265192e-01 2.583488581327297862e-02
0.000000000000000000e+00 -2.756899757602207828e+05 2.337275908969373983e-01 8.431152659217237000e-01 2.816259625229406982e-01
0.000000000000000000e+00 -2.751560339037094964e+05 2.495326975985874274e-01 8.722322656408999508e-01 1.724328441274151080e-01
0.000000000000000000e+00 -2.750913356943433755e+05 2.067333703852549665e-01 9.374372310466366764e-01 9.777027323975123752e-01
0.000000000000000000e+00 -2.745586381254800363e+05 1.266735238543137410e-02 2.538627695465931478e-01 7.708042535483116131e-01
0.000000000000000000e+00 -2.732460478759465623e+05 7.881892479204521962e-02 3.046823677404650876e-01 8.566928673733033017e-01
0.000000000000000000e+00 -2.730193086341421003e+05 1.446263805847514128e-02 5.517522562280313680e-01 3.482160203989869141e-01
0.000000000000000000e+00 -2.681915287510683993e+05 3.581795963132435867e-01 9.801812526320531349e-01 2.458998084216749147e-01
0.000000000000000000e+00 -2.671527334409788018e+05 2.423615568175527812e-01 7.415869318886006978e-01 1.223236420122466583e-01
