gamma delta nu_max
4.400846437909844422e-01 3.388986015371005855e+00 8.158184265734611529e+01
3.119834230466804748e-01 3.159230141144016013e+00 1.082918698385194745e+01
4.565102811843373409e-01 3.362934528109997601e+00 6.395276954921649093e+01
5.325075207930196619e-01 3.991154820837657713e+00 6.036247041810511860e+01
5.481232611889326201e-01 4.148077842735204079e+00 2.842399639575598513e+01
5.615801067448590311e-01 4.375407883011773968e+00 1.092592474839907624e+01
5.123290189650639981e-01 4.331683299661048814e+00 4.756547080591865040e+00
5.631211507690827567e-01 4.429288395440572401e+00 4.409869461312553085e+00
4.820061154110062418e-01 3.817586800895660382e+00 3.848955694664924465e+01
4.733389776215011224e-01 3.431181758285583250e+00 4.538176101558924103e+01
5.316720535804955183e-01 4.181172261705508042e+00 3.631700576837641847e+01
4.906873937313811496e-01 3.779465145576848428e+00 7.466215477701389602e+01
4.483185341717574879e-01 3.477400112736875659e+00 8.159278824335351032e+01
4.648298147006908465e-01 3.527193647892384654e+00 6.206113497895668729e+01
3.475151134760063876e-01 2.898784607664659507e+00 7.160226506675282110e+01
5.311589300549315329e-01 3.863030925055555453e+00 3.869903675114913710e+01
4.270924827415034652e-01 3.465548669486739453e+00 3.936694786882097219e+01
4.554736944633419604e-01 3.580406998660309537e+00 4.888464798410988976e+01
4.910158397675425945e-01 3.645143244443972641e+00 5.373703690712396508e+01
4.838025881559595565e-01 3.631506374378122626e+00 5.039101865139230796e+01
4.424816526175516795e-01 3.555934635679792954e+00 4.187463558179833001e+01
4.403940272860638050e-01 3.567166581706931350e+00 4.788104186843625598e+01
5.374803908917291650e-01 4.053273680955805425e+00 1.378209169064867012e+01
4.033723932778696675e-01 3.357855810006235675e+00 4.802793258475190896e+01
5.294450369042918991e-01 3.927980122044004485e+00 6.648048248317910236e+01
4.815665723715996105e-01 3.487841614359999731e+00 5.399967039318052286e+01
5.117013026422494448e-01 3.719463458386030652e+00 5.023404224667247320e+01
4.608911404289572911e-01 3.693386021030880428e+00 7.189979090599075562e+01
4.595995154162184626e-01 3.792152621268407575e+00 2.495914613638320390e+01
2.420986515004504014e-01 2.704663782384536752e+00 2.075234295088251457e+01
5.152398781894812485e-01 3.852191384169793231e+00 6.171561679348316432e+01
4.900475453770249956e-01 3.404430641522941059e+00 8.958082230883047714e+01
4.529667134886923296e-01 3.651536617642952010e+00 5.390857788614591328e+01
4.773122722492164627e-01 3.498144938760052725e+00 4.665162142356341235e+01
4.304884064217264772e-01 3.588350328624128061e+00 4.609913744913488642e+01
5.107513226710030940e-01 3.757121085081691625e+00 5.594872077648945208e+01
3.859302941525655228e-01 3.504439055365371036e+00 2.954432204384013261e+01
5.152398781894812485e-01 3.852191384169793231e+00 6.171561679348316432e+01
5.312347920545261726e-01 3.932447317872257209e+00 2.105725361468701351e+01
5.316720535804955183e-01 4.181172261705508042e+00 3.631700576837641847e+01
4.154551409167490661e-01 3.340481441394103079e+00 7.118266106818458638e+01
4.380766247067715558e-01 3.740343535349995197e+00 1.172164082107475025e+01
4.017562408362933546e-01 3.699947422874113823e+00 1.472897499522069609e+01
4.330091617112750146e-01 3.220746442050133496e+00 3.934910524306551594e+01
4.323163494308681631e-01 3.381182538932476334e+00 8.660507078331181674e+01
5.076737601771946773e-01 3.983059634704530172e+00 1.209845328222038319e+01
4.608911404289572911e-01 3.693386021030880428e+00 7.189979090599075562e+01
4.820061154110062418e-01 3.817586800895660382e+00 3.848955694664924465e+01
4.586009801948329745e-01 3.744698401344288996e+00 5.559549344956672456e+01
4.930596015447978875e-01 3.815068336609008792e+00 1.921326153462423036e+01
3.859302941525655228e-01 3.504439055365371036e+00 2.954432204384013261e+01
3.119834230466804748e-01 3.159230141144016013e+00 1.082918698385194745e+01
4.064069864682386957e-01 3.420543212524514320e+00 5.110020249100413992e+01
3.694140572130497624e-01 3.050728979847187716e+00 8.453064532413267784e+01
3.161531832244770523e-01 2.861289599453378241e+00 9.467572111232126986e+01
4.554883910195939301e-01 3.509640978869383421e+00 3.553305207607441929e+01
5.134294057744407391e-01 3.711207682520222040e+00 5.652040270767347607e+01
4.323163494308681631e-01 3.381182538932476334e+00 8.660507078331181674e+01
3.465380840253364791e-01 3.030456862481694547e+00 6.967701909057723242e+01
4.500275725172599994e-01 3.014463464613046373e+00 8.588431122863650558e+01
4.760033987499681096e-01 3.460401735842854265e+00 5.185628072034484859e+01
4.833775335105672255e-01 3.701511420308454703e+00 6.147878239023727787e+01
3.999792639997190591e-01 2.951386745264622302e+00 1.971075580794077098e+01
4.305527390445624825e-01 3.278108739293043250e+00 7.350951515303263761e+01
4.698891108832048413e-01 4.145144542993397074e+00 4.388938526180076849e+00
5.479528230538088795e-01 4.033573322555587204e+00 4.981437386825702873e+01
4.327340024013597297e-01 3.580115155998898846e+00 4.623451848574588041e+01
4.833676303613947400e-01 4.168196382361452734e+00 3.363085115247621104e+00
4.829289699516627898e-01 3.643495067151581779e+00 5.048600578283259921e+01
4.909039611558434490e-01 3.486997526432427996e+00 2.697529989561496677e+01
4.857180046007256724e-01 3.797031845213448165e+00 7.978707054906942631e+01
5.076737601771946773e-01 3.983059634704530172e+00 1.209845328222038319e+01
5.192498254175620387e-01 3.830246483103853183e+00 2.556297171830430415e+01
4.017562408362933546e-01 3.699947422874113823e+00 1.472897499522069609e+01
5.076369827118314415e-01 3.722872493778589753e+00 1.431445898495845626e+01
5.290864564306395623e-01 4.024978924014645187e+00 6.458045446316712912e+01
3.971724322468481727e-01 2.851218519888823799e+00 8.470343951538680471e+01
4.235168502935238166e-01 3.557686512275868740e+00 6.838000918214237345e+01
5.019962150430694603e-01 3.770993906241415061e+00 4.879491599517174194e+01
5.264193367724930850e-01 3.881220420112752478e+00 1.981871405848032452e+01
4.529667134886923296e-01 3.651536617642952010e+00 5.390857788614591328e+01
4.660940849291499433e-01 3.906593691758732945e+00 3.275793093945106449e+01
5.039132873871221552e-01 4.321657491953502905e+00 8.846220329155208617e+00
4.429863196740699838e-01 3.426578286389684092e+00 4.926356083186328760e+01
4.591454651441884138e-01 3.300586677585520157e+00 8.507474661263560733e+01
4.929472024651102569e-01 3.684637819427791339e+00 4.348820229787556002e+01
4.774654416453794070e-01 3.606849514719442151e+00 4.343390830773705602e+01
5.288626553193924718e-01 3.810405502858601690e+00 2.263031507358147820e+01
5.436069704564369109e-01 4.008503715081232599e+00 2.043281276107717304e+01
4.810443399006187892e-01 3.383397720110900675e+00 7.680519731422126029e+01
4.957580214150505427e-01 3.679170267071810052e+00 7.537782442570374997e+01
4.376078846994391203e-01 3.456518976132450405e+00 2.098856660816152697e+01
5.146440901186957184e-01 3.728390527993709291e+00 4.418574334372063106e+01
5.481232611889326201e-01 4.148077842735204079e+00 2.842399639575598513e+01
3.475151134760063876e-01 2.898784607664659507e+00 7.160226506675282110e+01
4.323163494308681631e-01 3.381182538932476334e+00 8.660507078331181674e+01
5.579716805738637042e-01 4.167954722605814233e+00 5.308332531781380226e+01
3.942883851266376638e-01 3.172049674467251723e+00 5.513164890500676307e+01
4.005727934526110978e-01 3.296024943019397746e+00 8.777775658527059477e+01
4.721869065967339019e-01 3.704434894568105374e+00 2.768957289769357288e+01
4.772032441964446647e-01 3.543361728476756678e+00 3.850370590586040720e+01
4.833775335105672255e-01 3.701511420308454703e+00 6.147878239023727787e+01
4.005727934526110978e-01 3.296024943019397746e+00 8.777775658527059477e+01
4.610420970081592351e-01 3.552441445697929634e+00 1.866865476011869163e+01
4.006800278455264763e-01 3.275321153592911649e+00 9.595477774851207187e+01
4.477185238090397590e-01 3.471148906065170792e+00 1.856597793402008278e+01
4.201632989613770519e-01 3.401515635303129059e+00 5.311150152718286677e+01
3.504784344772842175e-01 3.319726351909365825e+00 1.446530392059891312e+01
4.610420970081592351e-01 3.552441445697929634e+00 1.866865476011869163e+01
5.277554422372117138e-01 4.104990077090858058e+00 3.561111584745736991e+01
5.631211507690827567e-01 4.429288395440572401e+00 4.409869461312553085e+00
4.391746168917274318e-01 2.861142806230301261e+00 5.302281588012530023e+01
4.828688676429018223e-01 3.902107966568674868e+00 2.113438101608814890e+01
4.836955398598523637e-01 3.675505842694809289e+00 8.231538520878842746e+01
4.963355101789443946e-01 3.835701765608839242e+00 5.812562285622585989e+01
4.784446594238409567e-01 3.622596969972684100e+00 3.506539954158132844e+01
5.138494411439628040e-01 3.910256014364912769e+00 2.974355950051661779e+01
4.561747924668744236e-01 3.855364767058925946e+00 3.115598576905291850e+01
4.963355101789443946e-01 3.835701765608839242e+00 5.812562285622585989e+01
5.496800252620190896e-01 4.239257234289668830e+00 2.458239715015216120e+01
4.295060141140303323e-01 3.242271227641262854e+00 4.331496855821809788e+01
4.260829666999503829e-01 3.519116471591286377e+00 7.068251257465034598e+01
5.043896644684167097e-01 3.585831562913453840e+00 7.653560463497561273e+01
5.046987222833658748e-01 3.949847138162155602e+00 4.531116919082802497e+01
5.293527194691068916e-01 4.226925020203426975e+00 8.449751606203392384e+00
4.134329695013838624e-01 3.106297523211268619e+00 5.864729601438059348e+01
4.308976434662949995e-01 3.703619149545070321e+00 3.869434026741252808e+01
5.422937686584460293e-01 4.053108911748338983e+00 6.643320265265099067e+01
5.019962150430694603e-01 3.770993906241415061e+00 4.879491599517174194e+01
4.695304444639920582e-01 4.113687282529614464e+00 9.099833688554838318e+00
4.260829666999503829e-01 3.519116471591286377e+00 7.068251257465034598e+01
3.396557053667714765e-01 2.839132342176390544e+00 8.215041114463116401e+01
3.759049624213477436e-01 3.135015656308629772e+00 8.768453247506528214e+01
3.465380840253364791e-01 3.030456862481694547e+00 6.967701909057723242e+01
3.450894482749278236e-01 3.157749164295557964e+00 5.006021573466821195e+01
4.477185238090397590e-01 3.471148906065170792e+00 1.856597793402008278e+01
4.910414570764005671e-01 3.642836365814984489e+00 7.510176425751578222e+01
2.656178508496398472e-01 2.553364081868788382e+00 5.767407894977548466e+01
3.172174937569682829e-01 3.386684912979771589e+00 1.403604145344385046e+01
3.981697608873795424e-01 3.497859238446452412e+00 1.329758022364797654e+01
4.529667134886923296e-01 3.651536617642952010e+00 5.390857788614591328e+01
4.376078846994391203e-01 3.456518976132450405e+00 2.098856660816152697e+01
4.829289699516627898e-01 3.643495067151581779e+00 5.048600578283259921e+01
4.580836042696863064e-01 3.404897279367534502e+00 5.358319485909940028e+01
5.076737601771946773e-01 3.983059634704530172e+00 1.209845328222038319e+01
4.104317971344633165e-01 3.549752656202877610e+00 2.796653424543904265e+01
4.142896807419420568e-01 3.205719611427195304e+00 9.036667010435097325e+01
5.115998061582642809e-01 3.916190032298936696e+00 5.128086687492935170e+01
3.859302941525655228e-01 3.504439055365371036e+00 2.954432204384013261e+01
3.039862409348086381e-01 2.675088805615960297e+00 7.738284211337200702e+01
4.857180046007256724e-01 3.797031845213448165e+00 7.978707054906942631e+01
4.847945959416184447e-01 3.691562384899613747e+00 5.203007180120719255e+01
4.770364767014767526e-01 3.451821494684691682e+00 8.572665888909219234e+01
4.050250063939841993e-01 3.854825379716221967e+00 1.332754955586403156e+01
4.770379841527172537e-01 3.629118594867466907e+00 6.384850051915752545e+01
4.663790820494422285e-01 3.560653407965288064e+00 7.587625675895344557e+01
5.076369827118314415e-01 3.722872493778589753e+00 1.431445898495845626e+01
5.313031592800903091e-01 4.085524591237126302e+00 3.109036300435822753e+01
4.810671559887742532e-01 3.850105887720473241e+00 5.199200903215182734e+01
3.918616966920209777e-01 3.564403836701213635e+00 2.401452456680640068e+01
4.990026170637289482e-01 3.924544666239416113e+00 3.956948670558638526e+01
5.378184947028578078e-01 4.026964286982184227e+00 7.029600197015318486e+01
4.391746168917274318e-01 2.861142806230301261e+00 5.302281588012530023e+01
3.879642840041557239e-01 3.065026063961433067e+00 1.752453134575047500e+01
4.802357512493020675e-01 3.631477141695351740e+00 5.156542051707720020e+01
4.376078846994391203e-01 3.456518976132450405e+00 2.098856660816152697e+01
4.411455141468347829e-01 3.672305222487533882e+00 2.760207177726379513e+01
4.554736944633419604e-01 3.580406998660309537e+00 4.888464798410988976e+01
5.615801067448590311e-01 4.375407883011773968e+00 1.092592474839907624e+01
5.348034885111506709e-01 3.892270288275252454e+00 2.296201054268566111e+01
4.824197638738476623e-01 3.451684840236772800e+00 4.525350402785041126e+01
4.833775335105672255e-01 3.701511420308454703e+00 6.147878239023727787e+01
5.057530153044282883e-01 3.744377822038361447e+00 7.271599417274880750e+01
4.230315145298007007e-01 3.424347042317907874e+00 6.261389150615301702e+01
4.940575685782149229e-01 3.680917841631839771e+00 6.921258201782870856e+01
3.971724322468481727e-01 2.851218519888823799e+00 8.470343951538680471e+01
4.483185341717574879e-01 3.477400112736875659e+00 8.159278824335351032e+01
4.910414570764005671e-01 3.642836365814984489e+00 7.510176425751578222e+01
4.303755312286261514e-01 3.511686286144892311e+00 2.173965559522053326e+01
4.721869065967339019e-01 3.704434894568105374e+00 2.768957289769357288e+01
4.763125302020236873e-01 3.362739850930118735e+00 2.411802683840100059e+01
4.824197638738476623e-01 3.451684840236772800e+00 4.525350402785041126e+01
4.721869065967339019e-01 3.704434894568105374e+00 2.768957289769357288e+01
