logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.130715659779282985e+06 -1.130721652493569767e+06 9.849999999999999867e-01
-1.130721652493569767e+06 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.093630233185924822e+06 -1.093636228400211548e+06 1.965000000000000080e+00
-1.093636228400211548e+06 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.032858946576833259e+06 -1.032864944291119929e+06 3.499999999999999778e-01
-1.032864944291119929e+06 4.257762737945636036e+04 -7.499999999999999722e-03 4.000000000000000000e+02 -8.916967102508799871e+05 -8.917027104651667178e+05 1.739999999999999991e+00
-8.917027104651667178e+05 8.434969113839241618e+04 -1.000000000000000021e-02 4.000000000000000000e+02 -6.381527913162369514e+05 -6.381587940305236261e+05 1.820000000000000062e+00
-6.381587940305236261e+05 1.875290453936322592e+05 -1.250000000000000069e-02 4.000000000000000000e+02 -5.960057342060609953e+05 -5.960117394203477306e+05 9.150000000000000355e-01
-5.960117394203477306e+05 2.011357858328999137e+05 -1.500000000000000118e-02 4.000000000000000000e+02 -5.342737037826388841e+05 -5.342797114969255636e+05 2.399999999999999911e-01
-5.342797114969255636e+05 2.300615521494796849e+04 -1.750000000000000167e-02 4.000000000000000000e+02 -4.319161008424108149e+05 -4.319221110566974967e+05 1.499999999999999944e-01
-4.319221110566974967e+05 4.432194727819850232e+04 -2.000000000000000042e-02 4.000000000000000000e+02 -3.859958821347198100e+05 -3.860018948490064940e+05 1.950000000000000067e-01
-3.860018948490064940e+05 4.206904356473928783e+04 -2.249999999999999917e-02 4.000000000000000000e+02 -3.842918461575743859e+05 -3.842978613718610723e+05 5.200000000000000178e-01
-3.842978613718610723e+05 4.257173921423824504e+04 -2.499999999999999792e-02 4.000000000000000000e+02 -3.770435185101829120e+05 -3.770495362244696007e+05 9.849999999999999867e-01
-3.770495362244696007e+05 4.379480654313133709e+04 -2.749999999999999667e-02 4.000000000000000000e+02 -3.751237513495872263e+05 -3.751297715638739173e+05 6.149999999999999911e-01
-3.751297715638739173e+05 4.371797080897297565e+04 -2.999999999999999542e-02 4.000000000000000000e+02 -3.727783028241752763e+05 -3.727843255384619697e+05 1.215000000000000080e+00
