gamma delta nu_max
4.565160733992159603e-01 3.693141868541648165e+00 5.692196854482670432e+01
3.235054040466769365e-01 2.866836538404572199e+00 6.178884035250695916e+01
5.329069479511734375e-01 4.107419915319360904e+00 1.781295964726943737e+01
3.786646259495447531e-01 3.382315806954889759e+00 5.557654815691654449e+01
4.115598807642970591e-01 3.388743301579187683e+00 4.909286300142759529e+01
4.817833189858971021e-01 3.477923587138842976e+00 7.999568839173379331e+01
3.731880018691500212e-01 3.148719842306787697e+00 2.871328434342766656e+01
3.938246247480039486e-01 3.850140080038368495e+00 4.222243375777225083e+00
5.161504304553159450e-01 3.876162998146462701e+00 5.986147850705172146e+01
5.060519154552057808e-01 3.637426662143997902e+00 5.578478608679594686e+01
3.945354929377713482e-01 3.316067192693434418e+00 2.881603683638497415e+01
4.084092018463856277e-01 3.538948633541718181e+00 4.027656498745496805e+01
4.232231215765374088e-01 3.744044536536847989e+00 1.128960031775834238e+01
3.786646259495447531e-01 3.382315806954889759e+00 5.557654815691654449e+01
5.550023017021505911e-01 4.150937030116244486e+00 4.066284856399143166e+01
3.744954659287207388e-01 3.610821069171873621e+00 1.941711908088445426e+01
3.967664520463838329e-01 3.399283614229921646e+00 5.703252605992795310e+01
3.953417607806604117e-01 3.363858655537188103e+00 8.145706707452933415e+01
3.627139686286939835e-01 2.936856775827017429e+00 1.971012230341925431e+01
5.146684101536950218e-01 3.717868056791062248e+00 9.649200513087775732e+01
5.162256646167681096e-01 3.699675306519265128e+00 4.027988190897035281e+01
4.662019291101735519e-01 3.320831240663363104e+00 5.518481070777373532e+01
5.125793942018807003e-01 3.763166138859617149e+00 9.474904092944336753e+01
4.172773600641299652e-01 3.426170610882524059e+00 4.725973009732670249e+01
4.231388909341429194e-01 3.387626610236256663e+00 7.558610199010837505e+01
5.118954678877877251e-01 3.759669431162413922e+00 6.436671299123602807e+01
3.083789460285895068e-01 3.012036288962328889e+00 3.934820170727614652e+01
5.055190613367597230e-01 3.733448307132904098e+00 4.757525520165002320e+01
3.988921963816240979e-01 3.640967613703074868e+00 8.482250887127641192e+00
5.126460070882344899e-01 3.898574072229088916e+00 5.719551317501654353e+01
5.329922910184180518e-01 4.078427642318509960e+00 4.850339274122246280e+01
5.151286362157255772e-01 3.857491113957728590e+00 6.251114228163980613e+01
4.293784746319000423e-01 3.857919817557685427e+00 1.484259822514486871e+01
4.035065675247284656e-01 3.388073354599476339e+00 2.827243389218186209e+01
4.426359592927817665e-01 3.067894941402958153e+00 1.130284619135041169e+02
4.980631876541434799e-01 4.147171083867670305e+00 1.453530411421200341e+01
4.250748153302299492e-01 3.149919159529209089e+00 2.430474459871577864e+01
4.357086123751725548e-01 2.900418172444293674e+00 4.071107139292899291e+01
5.144928978437236511e-01 4.107935572407395597e+00 9.426586718969851120e+00
4.065029409773972535e-01 3.211970936736667781e+00 4.983910083818056336e+01
4.677028913592593540e-01 4.046416707283572833e+00 1.227878440813951499e+01
4.151937345248506439e-01 3.373024490256668617e+00 4.655173052414900781e+01
4.346467793429484860e-01 3.765488011229203291e+00 1.142456993649970798e+01
4.435541945600771641e-01 3.550280525790318720e+00 2.751153917894821177e+01
5.272837017313591890e-01 3.988437440665134393e+00 6.525203887657666257e+01
4.998215767505180818e-01 3.940788217718616870e+00 2.433587735263006380e+01
4.800215821726956378e-01 3.772701348411299893e+00 7.793166804664588199e+01
3.574178695252410165e-01 3.249434680545341347e+00 4.852664495999087535e+01
4.071665795419203704e-01 3.304173721552681187e+00 3.922938210609675735e+01
4.953792611743692564e-01 3.607219109776211852e+00 1.579120643823628001e+01
4.808141211225633871e-01 3.454131896024030368e+00 5.651673027174946640e+01
5.162256646167681096e-01 3.699675306519265128e+00 4.027988190897035281e+01
3.653555078778600862e-01 3.069257327891306897e+00 6.177178120348838775e+01
5.043491686767466176e-01 3.770925703552148622e+00 8.594869047662891148e+01
4.738696390572252337e-01 3.568617977366705052e+00 7.960062358805160443e+00
5.311051263508419495e-01 3.903028991241198398e+00 4.086268193260678316e+01
4.346467793429484860e-01 3.765488011229203291e+00 1.142456993649970798e+01
5.301707844053755725e-01 4.001744492529513586e+00 6.345677949338361401e+01
4.133129382574900479e-01 2.730475488721041621e+00 7.635491973658727716e+01
4.615990323788530247e-01 3.348106959512699987e+00 8.638983968053574358e+01
4.864635385907545295e-01 3.706316378301686587e+00 7.274122324122370742e+01
4.232231215765374088e-01 3.744044536536847989e+00 1.128960031775834238e+01
4.456130887114722050e-01 3.062775011839669492e+00 2.300025417457163712e+00
4.928086040208135010e-01 3.482382894434882026e+00 2.431368166288531540e+01
3.885521611879587667e-01 3.349312340924999631e+00 4.226206499194986321e+01
4.552487664639268683e-01 3.752739826903368048e+00 3.975194973401374199e+01
4.981134361268033661e-01 3.532843274914229781e+00 9.301675770519111097e+01
4.682166711109336799e-01 3.166043240224997390e+00 6.642513538963839892e+01
4.427348722902646472e-01 3.581291834655774942e+00 2.659251690364335730e+00
4.416762420558240088e-01 3.489653194081368426e+00 6.037398588515910802e+01
5.163030609789395209e-01 3.673498889800129952e+00 5.932087865749576849e+01
5.285213901975815975e-01 3.920068245693192566e+00 5.439335239886945317e+01
4.356963260033366314e-01 2.949352332230349649e+00 8.980832481409309764e+01
3.450273804769619090e-01 3.351022382440612901e+00 2.262795066294670931e+01
3.902967150347962377e-01 3.328594382358732506e+00 3.835347638511162671e+01
5.365811134967027884e-01 3.919615124733833333e+00 8.359743121362609486e+01
5.550023017021505911e-01 4.150937030116244486e+00 4.066284856399143166e+01
5.358826916045152933e-01 4.021025635710048007e+00 3.798361710584521234e+01
4.114125392062750741e-01 3.378695302266581102e+00 5.049225169644155642e+01
4.464091351514356543e-01 3.561263031706773496e+00 7.208838112636199469e+01
5.157633080091019728e-01 3.661836878027112885e+00 4.540915376975387119e+01
4.216202332401512987e-01 3.736165089562459407e+00 5.993938385609617114e+00
4.422200290731519434e-01 3.919821401596428778e+00 2.050702684140857457e+01
4.556099908794528641e-01 3.871085953082422648e+00 2.280435842343725739e+01
5.237596666245882826e-01 3.833860256554931123e+00 7.524314917803043556e+01
4.886565973650351946e-01 3.825808515969170376e+00 3.170955751708546444e+01
5.094915812525089294e-01 3.648517478908969824e+00 6.687532658331447522e+01
4.187713635434713311e-01 3.894345147071072155e+00 1.503193519188965155e+01
4.544971935514336980e-01 3.555367910572339252e+00 1.128134681107371762e+02
4.120791027447658905e-01 3.751424175086079060e+00 2.114207933395039873e+01
4.055069241491466858e-01 3.078480223718777609e+00 1.056652444477600739e+02
