weight logl gamma delta nu_max
0.000000000000000000e+00 -1.088475445179004921e+06 6.846162135279741934e-01 7.302002210999276599e-01 2.449233083852031534e-03
0.000000000000000000e+00 -1.063442036717005307e+06 2.315992623140011863e-01 4.534135701207775426e-01 3.782336125551899464e-03
0.000000000000000000e+00 -9.911824854303385364e+05 7.583760228850756624e-01 2.371925167350991126e-01 3.925847060336495886e-03
0.000000000000000000e+00 -9.718782939761639573e+05 1.666556818442519461e-01 9.447084074999979597e-01 4.827850436906699905e-03
0.000000000000000000e+00 -7.147761698874010472e+05 4.189914649829392657e-01 6.278291168992912175e-01 1.023985787587999852e-02
0.000000000000000000e+00 -6.425897079848261783e+05 7.322968526870691219e-01 9.246592132332644987e-01 1.227412826045493066e-02
0.000000000000000000e+00 -5.476724032929773675e+05 2.503277561418116859e-01 1.611799913149939423e-01 1.366772612533373454e-02
0.000000000000000000e+00 -4.757033584867283353e+05 1.271098725717514366e-01 5.521387191316571297e-01 2.170035610616805055e-02
0.000000000000000000e+00 -3.833653987626587041e+05 5.877558592869536191e-03 7.211476372456313566e-01 9.428297931213232008e-01
0.000000000000000000e+00 -3.717176477528754040e+05 2.227277745368794193e-03 6.628867752354198339e-01 4.516787855809960561e-01
0.000000000000000000e+00 -3.702992876558937132e+05 8.266740336039768433e-02 8.075616329414272432e-01 1.502625671930311047e-01
0.000000000000000000e+00 -3.685990439449949190e+05 4.409808015789151714e-02 4.999698754111179255e-01 4.425214958789068787e-01
0.000000000000000000e+00 -3.685364046713561984e+05 3.051198799071397350e-02 2.373489085913622620e-01 9.044429562548500501e-01
0.000000000000000000e+00 -3.640828070671336609e+05 2.615583149441547128e-02 1.229580783499254482e-01 5.162313429948722776e-01
0.000000000000000000e+00 -3.607252741286788951e+05 9.355705555091353709e-02 8.757528963743833605e-01 3.112303726745155874e-01
0.000000000000000000e+00 -3.599316170037738048e+05 1.056818270359395351e-01 9.424608961705646104e-01 5.817097155037506129e-01
0.000000000000000000e+00 -3.578213404683395056e+05 4.213273971215514280e-03 6.789053966093793191e-01 5.608407316511202501e-01
0.000000000000000000e+00 -3.568805095071322867e+05 4.570766203544329720e-02 4.219786172369187627e-01 8.343638814778278068e-01
0.000000000000000000e+00 -3.568145911149160820e+05 5.181964583858089668e-02 5.399749763964705185e-01 6.949028711535492064e-01
0.000000000000000000e+00 -3.534271610972910421e+05 5.175673103791489371e-02 4.905017666625205441e-01 6.110832180124329271e-01
0.000000000000000000e+00 -3.451422480226977495e+05 1.414432618513709050e-01 9.683608407786509220e-01 4.874992774355627612e-01
0.000000000000000000e+00 -3.398997543780112755e+05 7.260826773505935083e-02 5.151209888192285202e-01 1.165511390793464441e-01
0.000000000000000000e+00 -3.394971773836525972e+05 6.907297132331879919e-02 5.285780646522985071e-01 2.297162636256266932e-01
0.000000000000000000e+00 -3.356060149242267362e+05 6.414722204327794053e-02 4.083482921167452817e-01 2.084093447290049639e-01
0.000000000000000000e+00 -3.337989179733080673e+05 1.002771296021465197e-01 7.685771103505720792e-01 2.534532460841529833e-01
0.000000000000000000e+00 -3.282506133258813643e+05 1.028121430213154719e-01 7.314565047357054484e-01 2.222188364144433992e-01
0.000000000000000000e+00 -3.273415899764087517e+05 3.707260273304335829e-02 1.768025918198101731e-01 9.384523011672343262e-01
0.000000000000000000e+00 -3.251921715242271312e+05 6.671238731183926074e-02 7.664144125354942494e-01 2.887132241039669367e-02
0.000000000000000000e+00 -3.249087367271838011e+05 1.068098960287765520e-01 7.664226031588868837e-01 3.438371868475151860e-01
0.000000000000000000e+00 -3.154670818729128223e+05 1.029471780630175637e-01 6.136666043256275849e-01 2.593602423881766761e-01
0.000000000000000000e+00 -3.140755625799890840e+05 5.203621332081720396e-02 2.059291805224798821e-01 4.535637108991819044e-01
0.000000000000000000e+00 -3.136040056178889936e+05 1.026624635174592237e-01 7.232428706970283061e-01 9.365230444129699627e-01
0.000000000000000000e+00 -3.112250122309840517e+05 2.225913310106572007e-01 9.950101838458615955e-01 9.076320217495725817e-01
0.000000000000000000e+00 -3.031435583653960493e+05 9.006402967062010489e-03 4.762570857062807805e-01 7.186658224252446825e-01
0.000000000000000000e+00 -3.030665492977351532e+05 1.274180797777836327e-01 6.400428788343550668e-01 3.091401910667419539e-01
0.000000000000000000e+00 -2.970808170012349146e+05 1.709710642634965083e-01 8.293767659143004289e-01 2.242818081797346430e-01
0.000000000000000000e+00 -2.945867329475036240e+05 2.242391383031148155e-01 9.546938582583479604e-01 3.377343342581371477e-01
0.000000000000000000e+00 -2.941723496987376129e+05 1.133408485126314869e-01 4.594252930149713698e-01 2.255010482656111259e-01
0.000000000000000000e+00 -2.937103104316539248e+05 8.681465314184899640e-03 3.264927401123978168e-01 8.280286960981008137e-01
0.000000000000000000e+00 -2.867141142104780301e+05 5.840219113415053842e-01 1.106162379749616731e-01 2.427016365835454881e-02
0.000000000000000000e+00 -2.865566363470588112e+05 1.046633371061378437e-02 3.226461903567225953e-01 7.213707612791523394e-01
0.000000000000000000e+00 -2.852206720328569063e+05 5.983439059500328394e-01 7.525528867237515351e-01 3.170415503917578537e-02
0.000000000000000000e+00 -2.840666738877528114e+05 2.007260380315278869e-01 8.184424195567502336e-01 3.354787110262034133e-01
0.000000000000000000e+00 -2.776616401530057774e+05 1.999493852208573674e-01 6.925974087961137560e-01 1.042243607841335518e-01
0.000000000000000000e+00 -2.762937339935376076e+05 9.796616117502809917e-02 2.839348400569859932e-01 2.345443672904791166e-01
0.000000000000000000e+00 -2.755312551088362816e+05 1.916876388759491956e-02 4.302656611881374715e-01 6.720234535123222885e-01
0.000000000000000000e+00 -2.745890547827006085e+05 2.507962542327579758e-02 7.278889120283410508e-01 4.589216633555533997e-01
0.000000000000000000e+00 -2.745533658956394647e+05 4.479776297637294569e-02 7.981118637050310660e-02 8.629680363609298910e-01
0.000000000000000000e+00 -2.745026363121055183e+05 1.653791879753496730e-02 5.130846388597768426e-01 5.112810749979782576e-01
