weight logl gamma delta nu_max
0.000000000000000000e+00 -1.088475445179004921e+06 1.740922470758898388e+00 4.306709324760426227e+00 1.274636674174168149e+00
0.000000000000000000e+00 -1.063442036717005307e+06 1.134904178358655980e+00 3.941479232980644731e+00 1.926156195737036114e+00
0.000000000000000000e+00 -9.911824854303385364e+05 1.851066985406480292e+00 3.642318713952992226e+00 1.994682582058160847e+00
0.000000000000000000e+00 -9.718782939761639573e+05 1.018513649746232819e+00 4.797788681252907139e+00 2.418608571248000771e+00
0.000000000000000000e+00 -7.147761698874010472e+05 1.398766423365808809e+00 4.163054580440594066e+00 4.747978996910774185e+00
0.000000000000000000e+00 -6.425897079848261783e+05 1.810436223873552297e+00 4.718564093260209980e+00 5.543387695353828803e+00
0.000000000000000000e+00 -5.476724032929773675e+05 1.164860125770364574e+00 3.505190094081100938e+00 6.066969583712065628e+00
0.000000000000000000e+00 -4.757033584867283353e+05 9.327398583460058124e-01 4.065533338426829069e+00 8.804770655841181792e+00
0.000000000000000000e+00 -3.833653987626587041e+05 2.769244214218875566e-01 4.293127083898065521e+00 1.077127346267783992e+02
0.000000000000000000e+00 -3.717176477528754040e+05 1.550732289220857485e-01 4.210177285744009623e+00 5.730072167754692458e+01
0.000000000000000000e+00 -3.702992876558937132e+05 8.103648298137544614e-01 4.434472939134570524e+00 3.132689784690067114e+01
0.000000000000000000e+00 -3.685990439449949190e+05 6.543431387914248054e-01 3.999962244426837898e+00 5.662429776414219873e+01
0.000000000000000000e+00 -3.685364046713561984e+05 5.726581085100891366e-01 3.642571829699950747e+00 9.960618292049483102e+01
0.000000000000000000e+00 -3.640828070671336609e+05 5.403281210852851624e-01 3.419837066398416336e+00 6.204979564132188585e+01
0.000000000000000000e+00 -3.607252741286788951e+05 8.440610305407993952e-01 4.577007270769287040e+00 4.654531428468084897e+01
0.000000000000000000e+00 -3.599316170037738048e+05 8.783782681135705594e-01 4.787886324889861100e+00 6.692098543746156736e+01
0.000000000000000000e+00 -3.578213404683395056e+05 2.304683176502979602e-01 4.232320052729660276e+00 6.535475729893481400e+01
0.000000000000000000e+00 -3.568805095071322867e+05 6.626464628877760665e-01 3.901582866504555547e+00 8.960430254122189808e+01
0.000000000000000000e+00 -3.568145911149160820e+05 6.922424320946342080e-01 4.050185339344501756e+00 7.589133269352430489e+01
0.000000000000000000e+00 -3.534271610972910421e+05 6.919519227037810305e-01 3.988094605006283988e+00 6.915899717053609663e+01
0.000000000000000000e+00 -3.451422480226977495e+05 9.656495343969292433e-01 4.928615422294169157e+00 5.993673790666375112e+01
0.000000000000000000e+00 -3.398997543780112755e+05 7.761845490688735749e-01 4.018955888970887180e+00 2.713512256927308641e+01
0.000000000000000000e+00 -3.394971773836525972e+05 7.633297694190394056e-01 4.035847980407019975e+00 3.950400797142278009e+01
0.000000000000000000e+00 -3.356060149242267362e+05 7.445639799274635928e-01 3.884102077400576558e+00 3.747915201045765343e+01
0.000000000000000000e+00 -3.337989179733080673e+05 8.634510829900121642e-01 4.367084471393368972e+00 4.165526962422464408e+01
0.000000000000000000e+00 -3.282506133258813643e+05 8.705223949282230311e-01 4.308611997798806215e+00 3.880257102796254287e+01
0.000000000000000000e+00 -3.273415899764087517e+05 6.150533376782680861e-01 3.536190447238463985e+00 1.066061019347000354e+02
0.000000000000000000e+00 -3.251921715242271312e+05 7.544675581931601371e-01 4.363544713758427562e+00 1.093284880772168322e+01
0.000000000000000000e+00 -3.249087367271838011e+05 8.814247617071551133e-01 4.363558085191941771e+00 4.914714255943775356e+01
