logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.088475445179004921e+06 -1.088481437893291702e+06 5.999999999999999778e-02
-1.088481437893291702e+06 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.063442036717005307e+06 -1.063448031931292033e+06 1.250000000000000000e-01
-1.063448031931292033e+06 nan -5.000000000000000104e-03 4.000000000000000000e+02 -9.911824854303385364e+05 -9.911884831446252065e+05 1.000000000000000056e-01
-9.911884831446252065e+05 3.406410037971410202e+04 -7.499999999999999722e-03 4.000000000000000000e+02 -9.718782939761639573e+05 -9.718842941904506879e+05 1.159999999999999920e+00
-9.718842941904506879e+05 5.334954880233060067e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -7.147761698874010472e+05 -7.147821726016877219e+05 5.150000000000000133e-01
-7.147821726016877219e+05 1.142056024077376060e+05 -1.250000000000000069e-02 4.000000000000000000e+02 -6.425897079848261783e+05 -6.425957131991129136e+05 1.939999999999999947e+00
-6.425957131991129136e+05 1.113597424023416388e+05 -1.500000000000000118e-02 4.000000000000000000e+02 -5.476724032929773675e+05 -5.476784110072640469e+05 6.350000000000000089e-01
-5.476784110072640469e+05 1.266033939541613072e+05 -1.750000000000000167e-02 4.000000000000000000e+02 -4.757033584867283353e+05 -4.757093687010150170e+05 1.270000000000000018e+00
-4.757093687010150170e+05 8.250770775646147376e+04 -2.000000000000000042e-02 4.000000000000000000e+02 -3.833653987626587041e+05 -3.833714114769453881e+05 7.099999999999999645e-01
-3.833714114769453881e+05 5.315088438530879648e+04 -2.249999999999999917e-02 4.000000000000000000e+02 -3.717176477528754040e+05 -3.717236629671620904e+05 9.549999999999999600e-01
-3.717236629671620904e+05 2.848113851135960431e+04 -2.499999999999999792e-02 4.000000000000000000e+02 -3.702992876558937132e+05 -3.703053053701804020e+05 1.159999999999999920e+00
-3.703053053701804020e+05 3.579006525893941671e+03 -2.749999999999999667e-02 4.000000000000000000e+02 -3.685990439449949190e+05 -3.686050641592816100e+05 1.389999999999999902e+00
-3.686050641592816100e+05 4.019546009445103664e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -3.685364046713561984e+05 -3.685424273856428917e+05 6.500000000000000222e-01
-3.685424273856428917e+05 4.080247535531170797e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -3.640828070671336609e+05 -3.640888322814203566e+05 1.870000000000000107e+00
