logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.107704204421945848e+06 -1.107710197136232629e+06 nan
-1.107710197136232629e+06 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.098655754791061860e+06 -1.098661750005348586e+06 nan
-1.098661750005348586e+06 2.500595373062707040e+03 -5.000000000000000104e-03 4.000000000000000000e+02 -1.080529514743885025e+06 -1.080535512458171695e+06 nan
-1.080535512458171695e+06 8.544635438566159792e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -1.071985688674097182e+06 -1.071991688888383796e+06 nan
-1.071991688888383796e+06 7.625981557148968022e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -1.030701636176875676e+06 -1.030707638891162351e+06 nan
-1.030707638891162351e+06 1.706648489275705288e+04 -1.250000000000000069e-02 4.000000000000000000e+02 -9.646228052115252940e+05 -9.646288104258120293e+05 nan
-9.646288104258120293e+05 3.591583114035152539e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -6.854537522643118864e+05 -6.854597599785985658e+05 nan
-6.854597599785985658e+05 1.467297273842943250e+05 -1.750000000000000167e-02 4.000000000000000000e+02 -4.979793976411905605e+05 -4.979854078554772423e+05 nan
-4.979854078554772423e+05 2.121423093941303669e+05 -2.000000000000000042e-02 4.000000000000000000e+02 -4.764000388710969128e+05 -4.764060515853835968e+05 nan
-4.764060515853835968e+05 1.406266015519555949e+05 -2.249999999999999917e-02 4.000000000000000000e+02 -4.129141772296000854e+05 -4.129201924438867718e+05 nan
-4.129201924438867718e+05 7.679393566780850233e+04 -2.499999999999999792e-02 4.000000000000000000e+02 -3.793059186354525154e+05 -3.793119363497392042e+05 nan
-3.793119363497392042e+05 8.581952692502082209e+04 -2.749999999999999667e-02 4.000000000000000000e+02 -3.784670588978207088e+05 -3.784730791121073999e+05 nan
-3.784730791121073999e+05 2.704805094610599554e+04 -2.999999999999999542e-02 4.000000000000000000e+02 -3.724976222531305393e+05 -3.725036449674172327e+05 nan
-3.725036449674172327e+05 3.033838656160092341e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -3.697852882450324250e+05 -3.697913134593191207e+05 nan
-3.697913134593191207e+05 3.703221538029975363e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -3.690800657057315111e+05 -3.690860934200182091e+05 nan
-3.690860934200182091e+05 2.604716290141612717e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -3.654642946785424720e+05 -3.654703248928291723e+05 nan
-3.654703248928291723e+05 3.699974013584098884e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -3.645468641695469851e+05 -3.645528968838336878e+05 nan
-3.645528968838336878e+05 3.891074852914584426e+03 -4.250000000000000305e-02 4.000000000000000000e+02 -3.588664186173949856e+05 -3.588724538316816906e+05 nan
-3.588724538316816906e+05 5.587504407446047480e+03 -4.500000000000000527e-02 4.000000000000000000e+02 -3.488043004438654170e+05 -3.488103381581521244e+05 nan
-3.488103381581521244e+05 8.588376471301180572e+03 -4.750000000000000749e-02 4.000000000000000000e+02 -3.439797500840495341e+05 -3.439857902983362437e+05 nan
-3.439857902983362437e+05 4.277811373906244626e+03 -5.000000000000000971e-02 4.000000000000000000e+02 -3.421676529032831313e+05 -3.421736956175698433e+05 nan
-3.421736956175698433e+05 4.581036667290411970e+03 -5.250000000000001193e-02 4.000000000000000000e+02 -3.323950643146137591e+05 -3.324011095289004734e+05 nan
-3.324011095289004734e+05 3.996474292944505578e+03 -5.500000000000001416e-02 4.000000000000000000e+02 -3.299278424744112999e+05 -3.299338901886980166e+05 nan
-3.299338901886980166e+05 3.389333398452013626e+03 -5.750000000000001638e-02 4.000000000000000000e+02 -3.294406443562448840e+05 -3.294466945705316029e+05 nan
-3.294466945705316029e+05 3.498964505938382899e+03 -6.000000000000001860e-02 4.000000000000000000e+02 -3.248590410451097414e+05 -3.248650937593964045e+05 nan
-3.248650937593964045e+05 2.648265471795000849e+03 -6.250000000000001388e-02 4.000000000000000000e+02 -3.239014822837822139e+05 -3.239075374980688794e+05 nan
-3.239075374980688794e+05 2.842336227395084279e+03 -6.500000000000001610e-02 4.000000000000000000e+02 -3.231634095060311956e+05 -3.231694672203178634e+05 nan
-3.231694672203178634e+05 4.934547396847721075e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -3.214819564293685253e+05 -3.214880166436551954e+05 nan
-3.214880166436551954e+05 7.277337926535335555e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -3.200280442041310598e+05 -3.200341069184177322e+05 nan
