weight logl gamma delta nu_max
0.000000000000000000e+00 -1.107704204421945848e+06 3.791864622032964371e-01 3.692600283894998947e-01 2.258200956128275649e-03
0.000000000000000000e+00 -1.098655754791061860e+06 7.385420516498355514e-01 9.274200081158379128e-01 2.509204513536311687e-03
0.000000000000000000e+00 -1.080529514743885025e+06 3.456277611003450989e-01 4.122173349553810429e-01 2.994366645525659010e-03
0.000000000000000000e+00 -1.071985688674097182e+06 4.108575262419613683e-01 1.272573842789019860e-01 2.514890176621542572e-03
0.000000000000000000e+00 -1.030701636176875676e+06 5.881173650441928746e-02 9.735942416356502260e-02 5.169591156227504314e-03
0.000000000000000000e+00 -9.646228052115252940e+05 8.427084296964363341e-01 2.971326776630661692e-01 4.543738265300634183e-03
0.000000000000000000e+00 -6.854537522643118864e+05 3.367752108243757814e-01 5.001463168949616955e-01 1.090940315321131671e-02
0.000000000000000000e+00 -4.979793976411905605e+05 5.770045205130307497e-01 1.315362386596874433e-01 1.410989303020671048e-02
0.000000000000000000e+00 -4.764000388710969128e+05 9.944449183751957744e-01 2.390575440380175998e-01 1.421048199566998793e-02
0.000000000000000000e+00 -4.129141772296000854e+05 1.335041931385116953e-03 7.949388940916458646e-01 3.335343838450396392e-01
0.000000000000000000e+00 -3.793059186354525154e+05 9.282283656579026765e-02 9.445647221343197453e-01 5.402187922733769909e-01
0.000000000000000000e+00 -3.784670588978207088e+05 2.614970648896053351e-02 2.611815836074717900e-01 6.042310649795098465e-01
0.000000000000000000e+00 -3.724976222531305393e+05 4.106622315164898396e-02 4.962428073160499720e-01 5.700938915190386647e-01
0.000000000000000000e+00 -3.697852882450324250e+05 6.725193358689396383e-02 8.290691282871798240e-01 7.570838316771620891e-01
0.000000000000000000e+00 -3.690800657057315111e+05 4.987852128851222311e-03 8.299421837598175422e-01 4.766339482764052615e-01
0.000000000000000000e+00 -3.654642946785424720e+05 3.986132775882123003e-02 4.176667550653547778e-01 7.066345348983305019e-01
0.000000000000000000e+00 -3.645468641695469851e+05 6.313707383511113491e-03 8.036146291825092547e-01 7.985898815918494043e-01
0.000000000000000000e+00 -3.588664186173949856e+05 7.357040570565231974e-02 7.743742196507999997e-01 4.225461424888509177e-01
0.000000000000000000e+00 -3.488043004438654170e+05 6.141700676932682068e-02 3.967589728954011852e-01 5.660273156347295220e-02
0.000000000000000000e+00 -3.439797500840495341e+05 9.292713768013027842e-02 8.558945680927383393e-01 6.936801260733522767e-01
