weight logl gamma delta nu_max
0.000000000000000000e+00 -1.107704204421945848e+06 1.347291774802116482e+00 3.833093091709079747e+00 1.178971210308006334e+00
0.000000000000000000e+00 -1.098655754791061860e+06 1.819971225908357138e+00 4.728421028094513368e+00 1.304546499376016300e+00
0.000000000000000000e+00 -1.080529514743885025e+06 1.302621474159340487e+00 3.889077578795443468e+00 1.544394633088103319e+00
0.000000000000000000e+00 -1.071985688674097182e+06 1.388352306331068764e+00 3.430274108878250239e+00 1.307379110141020817e+00
0.000000000000000000e+00 -1.030701636176875676e+06 7.229582267905257931e-01 3.351627366227802884e+00 2.576259999967305703e+00
0.000000000000000000e+00 -9.646228052115252940e+05 2.003267290581177029e+00 3.733667396729872578e+00 2.286320991787512469e+00
0.000000000000000000e+00 -6.854537522643118864e+05 1.290585420813433970e+00 4.000183381037095032e+00 5.014057993306686001e+00
0.000000000000000000e+00 -4.979793976411905605e+05 1.597847462136457120e+00 3.440420692402412328e+00 6.229711274481388728e+00
0.000000000000000000e+00 -4.764000388710969128e+05 2.769843590682348644e+00 3.645331270479544639e+00 6.266513473884479879e+00
0.000000000000000000e+00 -4.129141772296000854e+05 1.079085243291466600e-01 4.411839291426179699e+00 4.833474404152119064e+01
0.000000000000000000e+00 -3.793059186354525154e+05 8.418820332046988986e-01 4.797146207576896693e+00 6.382130128623498422e+01
0.000000000000000000e+00 -3.784670588978207088e+05 5.402797523685455294e-01 3.680146548815387497e+00 6.863280701905731007e+01
0.000000000000000000e+00 -3.724976222531305393e+05 6.380374679792644166e-01 3.995290987679251948e+00 6.604715850622820028e+01
0.000000000000000000e+00 -3.697852882450324250e+05 7.565137926179732464e-01 4.475246564605791733e+00 8.144172086657616205e+01
0.000000000000000000e+00 -3.690800657057315111e+05 2.534320061623358544e-01 4.476968401852258417e+00 5.913814740695526240e+01
0.000000000000000000e+00 -3.654642946785424720e+05 6.312950190734191169e-01 3.896066944143301569e+00 7.689229802931521363e+01
0.000000000000000000e+00 -3.645468641695469851e+05 2.875210856833436690e-01 4.427301702779930181e+00 8.559017749129486674e+01
0.000000000000000000e+00 -3.588664186173949856e+05 7.796013958448539949e-01 4.376665062282934393e+00 5.514231371184422414e+01
0.000000000000000000e+00 -3.488043004438654170e+05 7.336869283510503159e-01 3.869127435907956603e+00 1.745378475588667300e+01
0.000000000000000000e+00 -3.439797500840495341e+05 8.421923372810211639e-01 4.531027338625333023e+00 7.578803570730434558e+01
0.000000000000000000e+00 -3.421676529032831313e+05 7.112967018702665012e-01 3.891498055438078918e+00 8.048471388170619889e+01
0.000000000000000000e+00 -3.323950643146137591e+05 5.181973626371566555e-01 3.062743991321004167e+00 3.057074076749577785e+01
0.000000000000000000e+00 -3.299278424744112999e+05 1.899813650930616715e+00 2.708900951393559353e+00 7.990569291329528312e+00
0.000000000000000000e+00 -3.294406443562448840e+05 6.873334040805042511e-01 3.783453438457396345e+00 1.006340049263082221e+02
0.000000000000000000e+00 -3.248590410451097414e+05 5.544437244819913069e-01 3.258399175838466277e+00 7.543300671596671236e+01
0.000000000000000000e+00 -3.239014822837822139e+05 9.246738096725396483e-01 4.636386903334746457e+00 8.524139996468294100e+01
0.000000000000000000e+00 -3.231634095060311956e+05 7.372001833887864564e-01 3.827509131722823810e+00 6.965282628301626744e+01
0.000000000000000000e+00 -3.214819564293685253e+05 8.541434845244555429e-01 4.150252310848449255e+00 3.652915642767748494e+01
0.000000000000000000e+00 -3.200280442041310598e+05 1.367658002106873605e+00 5.042242475615055675e+00 1.545303686516714947e+01
0.000000000000000000e+00 -3.154723582209525048e+05 1.080237395719470639e+00 4.299253712584049758e+00 1.394893726136425016e+01
0.000000000000000000e+00 -3.150786682315953658e+05 9.388569085284825810e-01 4.297417819342741474e+00 2.633777482860858754e+01
0.000000000000000000e+00 -3.112831242470814032e+05 9.313050248715541990e-01 4.370021098465575626e+00 7.228643444775819660e+01
0.000000000000000000e+00 -3.107509587472195853e+05 8.736401540931979515e-01 4.039614609871440720e+00 4.322746598975331267e+01
0.000000000000000000e+00 -3.066001970071880496e+05 9.731668765275911515e-01 4.457723629250783581e+00 4.841306243408848786e+01
0.000000000000000000e+00 -3.063432994715835666e+05 9.729294574652809224e-01 4.429924331759591105e+00 4.282793750523672571e+01
0.000000000000000000e+00 -3.016717475122553878e+05 1.050049071022232994e+00 4.737265166010843132e+00 6.027040658131930684e+01
0.000000000000000000e+00 -3.005716693692307454e+05 9.848260446837741044e-01 4.339605679675617722e+00 3.462948883910131315e+01
0.000000000000000000e+00 -2.995571922587389708e+05 1.026385834957042276e+00 4.586178553642249689e+00 5.627564572955062516e+01
0.000000000000000000e+00 -2.945677102126699174e+05 9.614729632161767015e-01 4.425350882568322319e+00 9.547667564465245960e+01
0.000000000000000000e+00 -2.939906643193514319e+05 9.371321157506141697e-01 4.234615849306843316e+00 6.696513173477364944e+01
0.000000000000000000e+00 -2.927920005165248294e+05 1.136686100055602111e+00 5.020779464351286414e+00 8.997193720870490097e+01
0.000000000000000000e+00 -2.927373699443449150e+05 1.496466381794566924e+00 4.962323527535363432e+00 1.503709667023742469e+01
0.000000000000000000e+00 -2.892238610050689895e+05 6.905918444870495776e-01 3.538454416917331535e+00 1.053031389902368318e+02
0.000000000000000000e+00 -2.884921374925667187e+05 9.403056692330492572e-01 4.387872338166834751e+00 1.209935147621775542e+02
0.000000000000000000e+00 -2.862526425527825486e+05 1.000972745019760968e+00 3.991858476870531192e+00 1.682901021762985039e+01
0.000000000000000000e+00 -2.860209467662108946e+05 7.142693725390598658e-01 3.471490129812654590e+00 5.899351646427193430e+01
0.000000000000000000e+00 -2.858556512399000349e+05 5.658771743880105509e-01 4.558857086350157850e+00 4.235631566638613776e+01
0.000000000000000000e+00 -2.848443478244612343e+05 1.040259857736773430e+00 4.577775502361378201e+00 9.051485077565303072e+01
0.000000000000000000e+00 -2.840205932581415400e+05 7.482380673584085873e-01 4.296824834500132972e+00 1.265721404271685913e+01
0.000000000000000000e+00 -2.830908264206753229e+05 8.302698475174533632e-01 3.885089551496073934e+00 8.005819350442315852e+01
0.000000000000000000e+00 -2.828477709538064664e+05 2.737042717648643375e-01 3.808583576701851658e+00 4.890713572826022926e+01
0.000000000000000000e+00 -2.823549184181066230e+05 9.468976802802022696e-01 4.025629014184468168e+00 4.264740175230147656e+01
0.000000000000000000e+00 -2.809686610817824840e+05 1.030359104261103997e+00 4.133496685854916919e+00 2.719194946956418590e+01
0.000000000000000000e+00 -2.805312896363716573e+05 1.045539232117631112e+00 4.190143058987995772e+00 3.241303093700469873e+01
0.000000000000000000e+00 -2.787417366319202119e+05 9.506639960974153647e-01 5.407910807276950393e+00 3.711369558994445583e+01
0.000000000000000000e+00 -2.786633510862165713e+05 1.066784378319343363e+00 4.250999228727793344e+00 3.688700030236737604e+01
0.000000000000000000e+00 -2.701975258363736793e+05 1.156015352763275938e+00 4.358921216334484150e+00 2.418144433103456237e+01
0.000000000000000000e+00 -2.692757560043897829e+05 1.042251335677085500e+00 4.077640642954794004e+00 3.366035860774287869e+01
0.000000000000000000e+00 -2.677496635075416416e+05 1.000496417712638086e+00 4.226378362948622680e+00 6.736016652118442494e+01
0.000000000000000000e+00 -2.672308350040546502e+05 9.994561925627406529e-01 3.973146212191577042e+00 3.508679699907541050e+01
0.000000000000000000e+00 -2.667123324283665861e+05 1.055481994745436580e+00 3.995808770396919840e+00 2.752359732741934550e+01
0.000000000000000000e+00 -2.661238272349796025e+05 1.055449354204174739e+00 4.485700662017383600e+00 9.212821330960278488e+01
0.000000000000000000e+00 -2.656848506637310493e+05 1.373517516796674665e+00 4.705839629363445908e+00 1.903466863599935266e+01
0.000000000000000000e+00 -2.646668492445782176e+05 9.097118191409041543e-01 3.988394998039169526e+00 7.987125408608811483e+01
0.000000000000000000e+00 -2.622167539190584794e+05 1.236623576439058070e+00 4.721484354603827427e+00 5.310592036633417479e+01
0.000000000000000000e+00 -2.602257897766610840e+05 1.341181586151403593e+00 4.774583499933406472e+00 2.677752975041740058e+01
0.000000000000000000e+00 -2.600352122084068251e+05 1.026627559759095698e+00 4.358503857459012032e+00 9.451401754106751696e+01
0.000000000000000000e+00 -2.593024992834149161e+05 1.403420961204598916e+00 5.220727334495382621e+00 5.413426122817793384e+01
0.000000000000000000e+00 -2.582058299463887233e+05 8.665918863473460743e-01 3.789291808422019070e+00 7.581745784052301929e+01
0.000000000000000000e+00 -2.580267815155918943e+05 8.258150767458155572e-01 3.735075573481995370e+00 1.008501932185722865e+02
0.000000000000000000e+00 -2.578383634042218036e+05 9.187103380931183061e-01 3.679928717922224202e+00 3.392167304224498992e+01
0.000000000000000000e+00 -2.573533360350587463e+05 7.251067587998151209e-01 4.784474134525349420e+00 4.673477477187280726e+01
0.000000000000000000e+00 -2.572166887562733900e+05 1.597869398703364308e+00 3.697605378384325903e+00 1.105298752421086306e+01
0.000000000000000000e+00 -2.561392738988138444e+05 1.032973912962872109e+00 4.291332357096448114e+00 8.110019638219377214e+01
0.000000000000000000e+00 -2.546857400358876039e+05 1.162437087919983458e+00 4.029873920974409884e+00 1.948780382379647591e+01
0.000000000000000000e+00 -2.540771764890997438e+05 1.001561557141828818e+00 3.538342180442211937e+00 1.705688411487176381e+01
0.000000000000000000e+00 -2.516153096735434956e+05 1.068569159613825148e+00 4.063560147706770209e+00 3.911292184135520245e+01
0.000000000000000000e+00 -2.511156462452190754e+05 2.009700328983087037e+00 3.597882537442433470e+00 1.034564178876321705e+01
0.000000000000000000e+00 -2.509388363984082243e+05 1.028784518287690020e+00 4.055774027466774179e+00 4.999495704226732329e+01
0.000000000000000000e+00 -2.500003425297757203e+05 9.148979879565934947e-01 3.763496507394347379e+00 5.444242876818832855e+01
0.000000000000000000e+00 -2.492763487463910133e+05 8.836018266344545236e-01 3.600958281781571291e+00 4.383433707056778417e+01
0.000000000000000000e+00 -2.490173540969835303e+05 7.274451414221094758e-01 4.720632623163183439e+00 5.442660497922587837e+01
0.000000000000000000e+00 -2.439717865881159960e+05 1.442023391627476725e+00 5.308982962629971603e+00 8.024702565107668306e+01
0.000000000000000000e+00 -2.431826311574593710e+05 8.078027801283909071e-01 3.471899479590024207e+00 7.401897743663002416e+01
0.000000000000000000e+00 -2.424077668111542298e+05 9.901398788629446335e-01 4.035649508927643403e+00 7.905014275850396643e+01
0.000000000000000000e+00 -2.420264236824134132e+05 9.432043841707118403e-01 3.826257349311793288e+00 6.410773027985564454e+01
0.000000000000000000e+00 -2.399094376620966068e+05 8.711393210573260548e-01 3.556955595822393068e+00 5.602837774755289502e+01
0.000000000000000000e+00 -2.393633145907413564e+05 1.003603133195555053e+00 4.098978166609534846e+00 9.226066672115184986e+01
0.000000000000000000e+00 -2.392145908694778627e+05 1.132848313252679651e+00 4.245157720299042481e+00 5.249500671011836062e+01
0.000000000000000000e+00 -2.386836864933344477e+05 7.091698682293491318e-01 4.378233080633439300e+00 3.966129806887167319e+01
0.000000000000000000e+00 -2.354372488500256732e+05 6.727907999675799555e-01 4.388093078554210713e+00 6.884421412716874045e+01
0.000000000000000000e+00 -2.347906286749542633e+05 5.874771186346529062e-01 3.701354681905948407e+00 2.171828165435776015e+01
0.000000000000000000e+00 -2.346594148234889726e+05 1.088816751537750926e+00 3.991976444145812319e+00 4.207370305719098269e+01
0.000000000000000000e+00 -2.325030017961036938e+05 5.596217075877407687e-01 3.994345990706520411e+00 1.090060054848748905e+02
0.000000000000000000e+00 -2.309762676142627024e+05 1.080712730214576034e+00 3.369839281664617658e+00 1.397366822828272603e+01
0.000000000000000000e+00 -2.299798983265799179e+05 1.055698435385668654e+00 3.789836670319389533e+00 3.544835167702724732e+01
