gamma delta nu_max
4.811829700160021872e-01 4.056436056421731884e+00 1.062593912952921471e+01
4.726113983248556583e-01 3.556197274137844921e+00 5.332290624870195472e+01
4.884383010274042647e-01 3.516044066519714573e+00 5.749924507103253291e+01
5.154235777385376416e-01 3.806707568975029599e+00 6.068623924191187768e+01
4.638301296042797173e-01 3.427250096531755830e+00 7.737366118367867784e+01
4.988988036110977298e-01 3.645690039292997398e+00 2.075321092589661021e+01
3.843551129918645337e-01 3.353657091353889008e+00 5.590902941441203922e+01
4.757009601128696641e-01 3.648741674834826032e+00 5.726610777259492124e+01
5.253495770335194770e-01 3.870024779507947432e+00 5.232190451945280074e+01
4.368013641548513792e-01 3.321594030358617111e+00 9.150996443115784018e+01
4.932233952632028018e-01 3.716784850137837104e+00 6.966466935192124765e+01
4.126831307030802698e-01 3.299341279958207362e+00 8.903350036336041740e+01
3.987797135668067483e-01 3.269881381221050543e+00 5.187388186600583140e+01
4.727555988987552915e-01 3.700752465222338916e+00 2.537227190123957854e+01
4.921644536602602926e-01 3.875014474007542287e+00 2.873555959763183409e+01
4.116212892400072931e-01 3.300870391816433269e+00 2.986584921223223432e+01
4.985065244054003308e-01 3.841351034292965316e+00 4.129664607778892815e+01
3.149488743600943330e-01 2.545405549417428581e+00 4.602541178979193148e+01
3.663839209111645623e-01 3.146331364196546687e+00 2.780787979357175033e+01
4.387766295301842590e-01 2.996516489380047332e+00 3.610329812668155824e+01
5.240919058465925984e-01 3.780426394917704158e+00 3.481172860714931261e+01
4.900274368190156160e-01 3.807638622956786900e+00 6.585073628875805696e+01
3.302952507598742038e-01 2.766906236850541490e+00 3.527747460954138603e+00
4.584036264150697093e-01 3.702468862508846215e+00 4.056193154000290946e+01
4.373954771738819414e-01 3.090012597705594555e+00 7.781720401461346626e+01
4.962190380825182157e-01 3.770896614095978983e+00 7.938535616806197481e+01
3.889404012558992374e-01 3.393516388257069138e+00 2.836003300063856969e+01
5.567718285584063453e-01 4.128602644313264847e+00 6.368623197897370858e+01
5.017621144106204634e-01 4.240911987723556820e+00 1.405036995045263382e+01
4.909659723384951491e-01 3.441910893395042415e+00 4.084217727131041187e+01
4.584282151973937403e-01 3.829670027079039141e+00 1.825941568524777381e+01
3.832200252821327258e-01 3.888630454965670946e+00 2.009241827411067050e+00
2.488057727050845269e-01 2.631631701394254730e+00 7.401075865683048960e+01
3.755563893938860254e-01 2.643518264705789100e+00 1.057029830579897833e+01
5.027281825317424513e-01 3.720133003051824261e+00 5.772850584331490609e+01
4.884383010274042647e-01 3.516044066519714573e+00 5.749924507103253291e+01
4.626497423305722112e-01 3.485425123344612075e+00 4.521710249770660539e+01
4.413325114887622913e-01 3.131922842963890119e+00 3.793433110575794842e+01
5.166310453118002632e-01 3.854968927663430467e+00 9.935254610142703768e+01
4.968336946090310402e-01 3.616682238332439514e+00 7.110706187977432080e+01
4.778290267473517261e-01 3.730148471923334430e+00 6.235837757952671012e+01
4.582567355061872849e-01 3.220933927719247247e+00 9.244304941915879681e+01
5.397471414751671137e-01 3.999941327013922354e+00 5.466606567595576394e+01
4.928994274145466203e-01 3.559818746505777565e+00 4.517303356976920270e+01
4.764475796712142053e-01 3.575335911226316110e+00 5.204292019547798276e+01
5.505320481088056273e-01 4.078351537757195722e+00 2.760409907608935498e+01
4.876440262980570317e-01 3.764611723845427083e+00 5.911829316955676461e+01
5.197818518286348999e-01 3.989233741658144705e+00 5.455994800318279658e+01
2.777051218792219167e-01 3.246534399890100175e+00 1.326628476513250376e+01
4.373369510356328593e-01 3.695134568744447900e+00 1.975227631429132913e+01
4.779858036969781843e-01 3.414701447047015836e+00 6.883564360527245185e+01
4.626497423305722112e-01 3.485425123344612075e+00 4.521710249770660539e+01
4.694212932056789356e-01 3.839073645306714688e+00 1.902313412391350056e+01
5.166310453118002632e-01 3.854968927663430467e+00 9.935254610142703768e+01
4.963173169572365762e-01 3.525195273853336531e+00 5.795876139802167160e+01
